hc.fxe_4cfa3d779844febb738c	YouTube Shorts
hc.fxe_5955c19f40573ed3fb5c	Instagram Reels
hc.hc_027145e50be61760b10c	EEEE
hc.hc_0ec1a5dbda6d9983ad65	Edit memo
hc.hc_10ccf42a824aaa496258	Default
hc.hc_1aacb54c499242964cc0	OK
hc.hc_21b111cbfe6e8fca2d18	Default
hc.hc_2af93aeb435dff6322f5	Overlay
hc.hc_464c4ffd019e1e9691dc	Edit
hc.hc_4f776c24ea483aea70f3	Offline
hc.hc_55b14f4c9674728a4872	Aurora
hc.hc_565339bc4d33d72817b5	OK
hc.hc_60707cfeb40e2a665b35	Lavender
hc.hc_64cecb8a6ef3f808e1ce	Memo
hc.hc_6b5e4ccc3b1cb3cfbd66	Edit memo
hc.hc_6f6047b4e26e6300ff03	Browser
hc.hc_87b0acef85a7912564af	Edit
hc.hc_920e413c7d411b61ef3e	Status
hc.hc_a1794783aab72d205dc5	Offline
hc.hc_a7f173cdaae49a03443e	Wallpaper
hc.hc_c7b3fa57e5a86a559799	Lavender
hc.hc_c8a14bcd7060e8b8f06d	Memo
hc.hc_d31de1a5c5c8ba2a210a	Browser
hc.hc_e0fabb7091f97d15a43e	Wallpaper
hc.hc_e10195a1239fb321327b	Status
hc.hc_e9de098c7733b1b9a6c9	Aurora
hc.hc_f06f033fd7c125a6ac26	Overlay
res.action_confirm	OK
res.permission_status_line	%1$s: %2$s
res.safe_mode_btn	OK
